sbgrid_id,category,phasing_method,pdb_ids,wavelength,starting_model,type,title
695,anomalous,SAD,6NQZ,1.54179,,X-Ray Diffraction,"X-Ray Diffraction data from Leptospira interrogans Flagellar-coiling protein B (FcpB), source of 6NQZ structure"
696,anomalous,SAD,6S2Q,1.54980,,X-Ray Diffraction,"X-Ray Diffraction data from Mycobacterial glucosyl-3-phosphoglycerate phosphatase, source of 6S2Q structure"
714,anomalous,SAD,6SWG,0.91587,,X-Ray Diffraction,"X-Ray Diffraction data from TASOR-Periphilin core complex, source of 6SWG structure"
718,anomalous,MAD,3CG8,"1.3775, 1.380, 0.954",,X-Ray Diffraction,"X-Ray Diffraction data from Laccase from Streptomyces coelicolor, source of 3CG8 structure"
742,anomalous,SAD,6TL1,0.97949;0.97980,,X-Ray Diffraction,"X-Ray Diffraction data from TASOR pseudo-PARP domain, source of 6TL1 structure"
757,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
758,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
759,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
760,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
761,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
762,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
763,anomalous,SAD,6VYN,1.7712,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, wild-type N-terminal domain with bound lipid, source of 6VYN structure"
766,anomalous,AB INITIO PHASING,6VZ0,0.979,,X-Ray Diffraction,"X-Ray Diffraction data from Mouse surfactant protein B, C-terminal domain, crystallized at high pH, source of 6VZ0 structure"
816,anomalous,SAD,7L84,1.892,,X-Ray Diffraction,"X-Ray Diffraction data from Hen Egg White Lysozyme, source of 7L84 structure"
821,anomalous,SAD,7LVC,1.892,,X-Ray Diffraction,"X-Ray Diffraction data from Dihydrofolate reductase, source of 7LVC structure"
827,anomalous,MAD,6WDP,1.0;0.9792;0.9184;0.9798,,X-Ray Diffraction,"X-Ray Diffraction data from Interleukin-12 recepter subunit beta-1, source of 6WDP structure"
828,anomalous,MAD,6WDP,1.0;0.9792;0.9184;0.9798,,X-Ray Diffraction,"X-Ray Diffraction data from Interleukin-12 recepter subunit beta-1, source of 6WDP structure"
834,anomalous,SAD,7MM1,1.892,,X-Ray Diffraction,"X-Ray Diffraction data from Protein tyrosine phosphatase 1B, source of 7MM1 structure"
845,anomalous,SAD,7RIN,1.892,,X-Ray Diffraction,"X-Ray Diffraction data from Protein tyrosine phosphatase 1B, source of 7RIN structure"
864,anomalous,SAD,7T5T,0.97892,,X-Ray Diffraction,"X-Ray Diffraction data from Thauera sp. K11 CapP, source of 7T5T structure"
865,anomalous,SAD,7T5T,0.97892,,X-Ray Diffraction,"X-Ray Diffraction data from Thauera sp. K11 CapP, source of 7T5T structure"
874,anomalous,SAD,7QSJ,0.9809,,X-Ray Diffraction,"X-Ray Diffraction data from Mycobacterial methylmannose polysaccharide hydrolase, source of 7QSJ structure"
903,anomalous,SAD,5IC5,0.97910,,X-Ray Diffraction,"X-Ray Diffraction data from Bacteriophytochrome Response Regulator RtBrr, source of 5IC5 structure"
990,anomalous,SAD,4CV7,,,X-Ray Diffraction,"X-Ray Diffraction data from Virulence-associated protein VapB from the intracellular pathogen Rhodococcus equi, source of 4CV7 structure"
1033,anomalous,MAD,8TCH,0.979415,,X-Ray Diffraction,"X-Ray Diffraction data from Initiation of replication protein with helicase activity encoded by Pathogenicity Island SaPIBov1, source of 8TCH structure"
1034,anomalous,MAD,8TCH,0.979415,,X-Ray Diffraction,"X-Ray Diffraction data from Initiation of replication protein with helicase activity encoded by Pathogenicity Island SaPIBov1, source of 8TCH structure"
1076,anomalous,SAD,6NSR,0.9788,,X-Ray Diffraction,"X-Ray Diffraction data from Pseudomonas aeruginosa CifR_C99T-C181R complexed with 26bp dsDNA operator and apo-state, source of 6NSR structure"
1153,anomalous,SAD,9MUG,1.2827,,X-Ray Diffraction,"X-Ray Diffraction data from Schistosoma mansoni Hop1 chromatin binding region, source of 9MUG structure"
1156,anomalous,SAD,9MYP,1.2827,,X-Ray Diffraction,"X-Ray Diffraction data from Patiria miniata Hop1 chromatin binding region, source of 9MYP structure"
